GEN,UnitOnT0State,PowerGeneratedT0
NYISO_Astoria_GT_3-4_B82,44,0.0
NYISO_Astoria_GT_4-1_B82,-98,0.0
NYISO_Astoria_GT_4-2_B82,-99,0.0
NYISO_Astoria_GT_4-3_B82,168,44.0
NYISO_Astoria_GT_4-4_B82,38,42.0
NYISO_Shoreham_GT3_B80,-154,0.0
NYISO_Shoreham_GT4_B80,168,49.0
NYISO_59_St.__GT_1_B82,-153,0.0
NYISO_74_St.__GT_1_B82,-154,0.0
NYISO_74_St.__GT_2_B82,-154,0.0
NYISO_Allied_Frozen_Storage_B55,-163,0.0
NYISO_Arthur_Kill_Cogen_B82,168,11.1
NYISO_Arthur_Kill_GT_1_B82,168,20.0
NYISO_Astoria_GT_01_B82,168,16.0
NYISO_Barrett_09_B79,168,41.8
NYISO_Barrett_10_B79,168,41.8
NYISO_Barrett_11_B79,168,41.8
NYISO_Barrett_12_B79,168,41.8
NYISO_Binghamton_(RET_-_1/9/18)_B71,163,47.7
NYISO_Burrstone_Engy_Center_LLC_LU_B45,-163,0.0
NYISO_Burrstone_Engy_Center_LLC_U_B45,-163,0.0
NYISO_Charles_P_Keller_09_B79,-163,0.0
NYISO_Charles_P_Keller_10_B79,-163,0.0
NYISO_Charles_P_Keller_11_B79,-163,0.0
NYISO_Charles_P_Keller_14_B79,-163,0.0
NYISO_Coxsackie_GT_B39,-154,0.0
NYISO_East_Hampton_2_B80,-163,0.0
NYISO_East_Hampton_3_B80,-163,0.0
NYISO_East_Hampton_4_B80,-163,0.0
NYISO_East_Hampton_GT_01_B80,-163,0.0
NYISO_Freeport_1-4_B79,-163,0.0
NYISO_Freeport_2-3_B79,-154,0.0
NYISO_General_Mills_Inc_B57,168,3.8
NYISO_Gowanus_1-1_B82,168,20.0
NYISO_Gowanus_1-2_B82,168,0.0
NYISO_Gowanus_1-3_B82,168,0.0
NYISO_Gowanus_1-4_B82,168,0.0
NYISO_Gowanus_1-5_B82,168,0.0
NYISO_Gowanus_1-6_B82,168,0.0
NYISO_Gowanus_1-7_B82,168,0.0
NYISO_Gowanus_2-1_B82,168,0.0
NYISO_Gowanus_2-2_B82,168,0.0
NYISO_Gowanus_2-3_B82,168,0.0
NYISO_Gowanus_2-4_B82,168,0.0
NYISO_Gowanus_2-5_B82,168,0.0
NYISO_Gowanus_2-6_B82,168,0.0
NYISO_Gowanus_2-7_B82,168,0.0
NYISO_Gowanus_2-8_B82,168,0.0
NYISO_Gowanus_3-1_B82,168,0.0
NYISO_Gowanus_3-2_B82,168,0.0
NYISO_Gowanus_3-3_B82,168,0.0
NYISO_Gowanus_3-4_B82,168,0.0
NYISO_Gowanus_3-5_B82,168,0.0
NYISO_Gowanus_3-6_B82,168,0.0
NYISO_Gowanus_3-7_B82,168,0.0
NYISO_Gowanus_3-8_B82,168,0.0
NYISO_Gowanus_4-1_B82,168,0.0
NYISO_Gowanus_4-2_B82,168,0.0
NYISO_Gowanus_4-3_B82,168,0.0
NYISO_Gowanus_4-4_B82,168,0.0
NYISO_Gowanus_4-5_B82,168,0.0
NYISO_Gowanus_4-6_B82,168,0.0
NYISO_Gowanus_4-8_B82,168,0.0
NYISO_Hudson_Ave_3_B82,168,16.3
NYISO_Hudson_Ave_4_B82,168,16.3
NYISO_Hudson_Ave_5_B82,168,16.3
NYISO_Jamestown_5_B60,-169,0.0
NYISO_Jamestown_6_B60,-169,0.0
NYISO_Narrows_1-1_B82,168,22.0
NYISO_Narrows_1-2_B82,168,0.0
NYISO_Narrows_1-3_B82,168,0.0
NYISO_Narrows_1-4_B82,168,0.0
NYISO_Narrows_1-5_B82,168,0.0
NYISO_Narrows_1-6_B82,168,0.0
NYISO_Narrows_1-7_B82,168,0.0
NYISO_Narrows_1-8_B82,168,0.0
NYISO_Narrows_2-1_B82,168,0.0
NYISO_Narrows_2-2_B82,168,0.0
NYISO_Narrows_2-3_B82,168,0.0
NYISO_Narrows_2-4_B82,168,0.0
NYISO_Narrows_2-5_B82,168,0.0
NYISO_Narrows_2-6_B82,168,22.0
NYISO_Narrows_2-7_B82,168,22.0
NYISO_Narrows_2-8_B82,168,22.0
NYISO_Northport_GT_B80,168,1.3
NYISO_Ravenswood_01_B82,168,18.6
NYISO_Ravenswood_10_B82,-163,0.0
NYISO_Ravenswood_11_B82,-163,0.0
NYISO_S_Hampton_1_B80,168,0.0
