g,fleet_cov80,zone_A,zone_C,zone_D,zone_E,zone_K
1.0,0.7307692307692307,0.624198717948718,0.7067307692307693,0.7852564102564102,0.7796474358974359,0.6899038461538461
1.05,0.7403846153846154,0.6458333333333334,0.7275641025641025,0.8165064102564102,0.8036858974358975,0.7227564102564102
1.1,0.7564102564102564,0.6674679487179487,0.7443910256410257,0.8373397435897436,0.8261217948717948,0.7532051282051282
1.15,0.7676282051282052,0.6794871794871795,0.7644230769230769,0.8597756410256411,0.8413461538461539,0.7748397435897436
1.2,0.7796474358974359,0.6971153846153846,0.782051282051282,0.8870192307692307,0.8517628205128205,0.7868589743589743
1.25,0.7948717948717948,0.719551282051282,0.8012820512820513,0.9046474358974359,0.8701923076923077,0.7972756410256411
1.3,0.8092948717948718,0.7331730769230769,0.8277243589743589,0.9182692307692307,0.8886217948717948,0.8036858974358975
1.4,0.8333333333333334,0.7740384615384616,0.8597756410256411,0.9471153846153846,0.9222756410256411,0.8100961538461539
1.5,0.8525641025641025,0.8060897435897436,0.8822115384615384,0.9607371794871795,0.9399038461538461,0.8157051282051282
