GEN,UnitOnT0State,PowerGeneratedT0
NYISO_Arthur_Kill_ST_2_B82,13,349.0
NYISO_Arthur_Kill_ST_3_B82,13,539.0
NYISO_Allegany_B62,93,66.0
NYISO_Brooklyn_Navy_Yard_B82,7,240.0
NYISO_Astoria_3_B82,-97,0.0
NYISO_Astoria_5_B82,-97,0.0
NYISO_Wading_River_1_B80,-91,0.0
NYISO_Bowline_1_B77,-97,0.0
NYISO_Ravenswood_ST_01_B82,-97,0.0
NYISO_Ravenswood_ST_02_B82,-97,0.0
NYISO_Ravenswood_ST_03_B82,-97,0.0
NYISO_Somerset_B56,79,731.0
NYISO_Barrett_ST_01_B79,8,209.0
NYISO_Barrett_ST_02_B79,8,201.0
NYISO_Wading_River_2_B80,-92,0.0
NYISO_Northport_1_B80,12,410.0
NYISO_Northport_2_B80,8,410.0
NYISO_Northport_3_B80,12,411.0
NYISO_Port_Jefferson_3_B80,-97,0.0
NYISO_Greenidge_4_B65,-97,0.0
NYISO_Cayuga_1_B65,10,166.0
NYISO_Danskammer_1_B77,-97,0.0
NYISO_Roseton_1_B77,-97,0.0
NYISO_Roseton_2_B77,-97,0.0
NYISO_Danskammer_2_B77,-97,0.0
NYISO_Danskammer_3_B77,-97,0.0
NYISO_Danskammer_4_B77,-97,0.0
NYISO_Bowline_2_B77,-97,0.0
NYISO_Wading_River_3_B80,-91,0.0
NYISO_Oswego_5_B50,-97,0.0
NYISO_Oswego_6_B50,-97,0.0
NYISO_Port_Jefferson_4_B80,-97,0.0
NYISO_Hillburn_GT_B77,96,19.0
NYISO_Northport_4_B80,12,413.0
NYISO_Athens_1_B42,12,390.0
NYISO_Athens_2_B42,12,378.0
NYISO_Athens_3_B42,10,392.0
NYISO_Glenwood_GT_02_B79,-92,0.0
NYISO_Glenwood_GT_03_B79,-92,0.0
NYISO_Holtsville_01_B80,-92,0.0
NYISO_Holtsville_02_B80,-92,0.0
NYISO_Holtsville_03_B80,-92,0.0
NYISO_Holtsville_04_B80,-92,0.0
NYISO_Holtsville_05_B80,-92,0.0
NYISO_Holtsville_06_B80,-92,0.0
NYISO_Holtsville_07_B80,-92,0.0
NYISO_Holtsville_08_B80,-92,0.0
NYISO_Holtsville_09_B80,-92,0.0
NYISO_Holtsville_10_B80,-92,0.0
NYISO_Barrett_GT_01_B79,-91,0.0
NYISO_Barrett_GT_02_B79,-91,0.0
NYISO_Barrett_03_B79,-91,0.0
NYISO_Barrett_04_B79,-91,0.0
NYISO_Barrett_05_B79,-91,0.0
NYISO_Barrett_06_B79,-91,0.0
NYISO_Barrett_08_B79,-91,0.0
NYISO_West_Babylon_4_B79,-92,0.0
NYISO_Indeck-Silver_Springs_B65,-97,0.0
NYISO_Sterling_B45,-97,0.0
NYISO_Indeck-Yerkes_B57,-97,0.0
NYISO_Indeck-Oswego_B50,-97,0.0
NYISO_Lockport_B56,-97,0.0
NYISO_Saranac_Energy_B48,-97,0.0
