eia_plant_id,plant_name,generator_id,county,latitude,longitude,nameplate_mw,technology,status,operating_year,ba_code
65839.0,NY8 - Darby Solar,GEN1,Rensselaer,42.970331,-73.573258,20.0,Solar Photovoltaic,OP,2023,NYIS
65840.0,NY8 - Teichos Pattersonville,GEN1,Schenectady,42.8808,-74.0951,20.0,Solar Photovoltaic,OP,2024,NYIS
65841.0,NY8 - ELP Stillwater Solar,GEN1,Saratoga,42.926231,-73.711468,20.0,Solar Photovoltaic,OP,2023,NYIS
66034.0,Sugar Hill Solar 1,19826,Saratoga,42.83259,-73.84255,5.0,Solar Photovoltaic,OP,2020,ISNE
66036.0,3104 Batavia Solar,20205,Genesee,42.9994,-78.27517,3.0,Solar Photovoltaic,OP,2021,ISNE
66037.0,3232 Batavia Solar,20206,Genesee,43.00024,-78.26818,4.0,Solar Photovoltaic,OP,2021,ISNE
66040.0,Niagara Depot Solar,23204,Niagara,43.1191,-79.00705,3.5,Solar Photovoltaic,OP,2023,ISNE
66061.0,Angelica Solar Site 1,A1,Allegany,42.30639,-78.070392,5.0,Solar Photovoltaic,OP,2022,NYIS
66062.0,Angelica Solar Site 2,A2,Allegany,42.304408,-78.076676,5.0,Solar Photovoltaic,OP,2022,NYIS
66063.0,Angelica Solar Site 3,A3,Allegany,42.301546,-78.074922,5.0,Solar Photovoltaic,OP,2022,NYIS
66064.0,Angelica Solar Site 4,A4,Allegany,42.303015,-78.070922,5.0,Solar Photovoltaic,OP,2022,NYIS
66065.0,West Valley Solar,WVS1,Cattaraugus,42.449,-78.652,5.0,Solar Photovoltaic,OP,2022,NYIS
66065.0,West Valley Solar,WVS2,Cattaraugus,42.449,-78.652,5.0,Solar Photovoltaic,OP,2022,NYIS
66074.0,Marlborough Solar,4942,Ulster,41.66398,-73.97007,2.0,Solar Photovoltaic,OP,2021,ISNE
66081.0,Lenox Renewables,8211,Madison,43.11064,-75.77579,3.3,Solar Photovoltaic,OP,2021,ISNE
66094.0,Bizer Creek,561,Erie,43.00008,-78.793752,1.5,Solar Photovoltaic,OP,2023,NYIS
66126.0,Hecate Energy Albany 2 LLC,292,Albany,42.507913,-73.83651,21.1,Solar Photovoltaic,OP,2024,NYIS
66176.0,Landau Solar,10891,Ulster,41.90066,-74.027773,2.0,Solar Photovoltaic,OP,2021,NYIS
66177.0,Drinkwater Solar,10896,Montgomery,43.014985,-74.683403,2.0,Solar Photovoltaic,OP,2021,NYIS
66187.0,McCarthy Solar,10992,Orange,41.401253,-74.179076,2.0,Solar Photovoltaic,OP,2021,NYIS
66206.0,Mohawk View Solar,MOVSO,Montgomery,42.9412,-74.372177,5.0,Solar Photovoltaic,OP,2021,NYIS
66207.0,Van Epps Solar,VEPSO,Montgomery,42.93404,-74.3782,5.0,Solar Photovoltaic,OP,2021,NYIS
66209.0,Bantam Solar,10986,Montgomery,43.070426,-74.730767,5.0,Solar Photovoltaic,OP,2022,NYIS
66210.0,Bogart Solar,10887,Greene,42.209593,-73.995085,2.0,Solar Photovoltaic,OP,2019,NYIS
66211.0,Brickchurch Solar,10889,Wayne,43.201698,-76.968078,2.0,Solar Photovoltaic,OP,2020,NYIS
66212.0,Canoga Solar,10965,Seneca,42.85206,-76.8001,5.0,Solar Photovoltaic,OP,2021,NYIS
66213.0,Costanza Solar,10907,Albany,42.460556,-74.069444,2.0,Solar Photovoltaic,OP,2020,NYIS
66214.0,County Route 84 Solar,10967,Steuben,42.027157,-77.582546,5.0,Solar Photovoltaic,OP,2021,NYIS
66215.0,Cafferty Hill Solar,10996,Broome,42.081843,-76.112885,5.0,Solar Photovoltaic,OP,2022,NYIS
66217.0,Donati Solar,10968,Seneca,42.944796,-76.790886,2.0,Solar Photovoltaic,OP,2021,NYIS
66218.0,Dubois Solar (Hybrid),10892,Ulster,41.598889,-74.285833,2.0,Solar Photovoltaic,OP,2020,NYIS
66219.0,Dunkleman Solar,11008,Cattaraugus,42.35131,-78.848243,5.0,Solar Photovoltaic,OP,2023,NYIS
66220.0,Finney Solar,10999,Montgomery,42.979546,-74.275082,5.0,Solar Photovoltaic,OP,2021,NYIS
66221.0,Henrietta Solar,10972,Monroe,43.021133,-77.7068,5.0,Solar Photovoltaic,OP,2021,NYIS
66222.0,Landau II Solar (Hybrid),10895,Ulster,41.900186,-74.024392,4.0,Solar Photovoltaic,OP,2021,NYIS
66223.0,Lockenhurst Pond Solar,11000,Orange,41.33695,-74.55504,2.0,Solar Photovoltaic,OP,2022,NYIS
66224.0,New Beginnings Solar,10890,Ulster,41.892424,-74.093599,2.0,Solar Photovoltaic,OP,2019,NYIS
66225.0,NY70 Solar,10970,Livingston,42.552187,-77.967989,5.0,Solar Photovoltaic,OP,2021,NYIS
66226.0,Reid Solar,10991,Oneida,43.205594,-75.382968,4.8,Solar Photovoltaic,OP,2021,NYIS
66227.0,Reisender Solar,10886,Ulster,41.743505,-74.514615,2.0,Solar Photovoltaic,OP,2019,NYIS
66228.0,Salt Point Solar (Hybrid),10888,Dutchess,41.741126,-73.882065,2.0,Solar Photovoltaic,OP,2021,NYIS
66229.0,Sangolqui Solar,10975,Seneca,42.947327,-76.785599,2.0,Solar Photovoltaic,OP,2021,NYIS
66230.0,State Route 14A Solar,10997,Yates,42.740808,-77.072419,5.0,Solar Photovoltaic,OP,2021,NYIS
66231.0,State Highway 17B Solar,10988,Sullivan,41.682259,-74.876541,4.4,Solar Photovoltaic,OP,2021,NYIS
66232.0,Svenski Solar (Hybrid),10894,Orange,41.535043,-74.322869,2.0,Solar Photovoltaic,OP,2022,NYIS
66233.0,West Creek Solar,10995,Tioga,42.192559,-76.259349,5.0,Solar Photovoltaic,OP,2021,NYIS
66234.0,Wheatland 2A Solar,10971,Monroe,43.017211,-77.798702,4.5,Solar Photovoltaic,OP,2021,NYIS
66235.0,Wheatland 2B Solar,10961,Monroe,43.015501,-77.798643,4.5,Solar Photovoltaic,OP,2021,NYIS
66236.0,Wildflower Way Solar,10982,Steuben,42.358381,-77.304225,5.0,Solar Photovoltaic,OP,2021,NYIS
66256.0,Source Power Company - Aldrich,P4726,St. Lawrence,44.534193,-75.659472,5.0,Solar Photovoltaic,OP,2022,NYIS
66258.0,Source Power NY II - Whaling,P5569,Oneida,43.191807,-75.185477,3.2,Solar Photovoltaic,OP,2023,NYIS
66259.0,Source Power NY III - Medina II (CSG),P5646,Orleans,43.267674,-78.399539,5.0,Solar Photovoltaic,OP,2024,NYIS
66272.0,RIC - Hanover (CSG),GEN1,Chautauqua,42.55,-79.15,5.0,Solar Photovoltaic,OP,2023,NYIS
66273.0,Summit - Cicero,GEN1,Onondaga,43.2,-76.12,5.0,Solar Photovoltaic,OP,2024,NYIS
66274.0,Summit - Lysander (CSG),GEN1,Onondaga,43.160278,-76.283611,3.5,Solar Photovoltaic,OP,2023,NYIS
66275.0,Summit - Oswego,GEN1,Oswego,43.37,-76.464722,2.2,Solar Photovoltaic,OP,2023,NYIS
66322.0,Summit - Scriba CSG,GEN1,Oswego,43.46,-76.464722,5.0,Solar Photovoltaic,OP,2023,NYIS
66360.0,Ruler Solar Partners (CSG),RUSP1,St. Lawrence,44.656306,-75.497111,4.9,Solar Photovoltaic,OP,2023,NYIS
66361.0,Royal Solar Partners (CSG),ROSP1,St. Lawrence,44.656306,-75.498444,5.0,Solar Photovoltaic,OP,2023,NYIS
66380.0,"SCS Penfield One 010750 Penfield, LLC",83022,Monroe,43.134,-77.38,5.0,Solar Photovoltaic,OP,2022,NYIS
66387.0,Oswego,NECA,Oswego,43.472383,-76.340961,5.0,Solar Photovoltaic,OP,2023,NYIS
66388.0,NY USLE Rome-Oriskany,NECA,Oneida,43.193134,-75.427581,3.5,Solar Photovoltaic,OP,2023,NYIS
66424.0,ELP Livingston Solar,LIV,Columbia,42.169,-73.76708,5.0,Solar Photovoltaic,OP,2023,NYIS
66425.0,ELP Claverack Solar,CLAV,Columbia,42.248364,-73.738017,5.0,Solar Photovoltaic,OP,2023,NYIS
66442.0,LSE Musca Solar,ORANG,Schuyler,42.30895,-77.0403,5.0,Solar Photovoltaic,OP,2022,NYIS
66449.0,Northline Solar CSG,NORTH,Rensselaer,42.8691,-73.6153,4.0,Solar Photovoltaic,OP,2024,NYIS
66473.0,LSE Pavo Solar,WALTO,Delaware,42.157714,-75.045106,2.3,Solar Photovoltaic,OP,2022,NYIS
66481.0,Union Vale,UVALE,Dutchess,41.661,-73.742,1.7,Solar Photovoltaic,OP,2021,NYIS
66482.0,Ghent (NY),GHENT,Columbia,42.277433,-73.709201,3.3,Solar Photovoltaic,OP,2021,NYIS
66483.0,Stanford,SNFRD,Dutchess,41.865,-73.703,5.0,Solar Photovoltaic,OP,2021,NYIS
66488.0,Davis Solar,10958,Orange,41.42453,-74.36029,2.0,Solar Photovoltaic,OP,2023,NYIS
66489.0,Genesee - CCR Solar,10951,Monroe,43.31085,-77.78582,3.7,Solar Photovoltaic,OP,2022,NYIS
66490.0,Bullitt Farm Solar,10998,Oneida,43.19567,-75.26312,5.0,Solar Photovoltaic,OP,2023,NYIS
66501.0,Cicero Energy Storage 1 LLC,CCPV1,Onondaga,43.147448,-76.086772,5.0,Solar Photovoltaic,OP,2022,NYIS
66503.0,Cicero Energy Storage 2 LLC,CCPV2,Onondaga,43.151269,-76.08879,5.0,Solar Photovoltaic,OP,2022,NYIS
66504.0,Sunnyside 1 Solar,SS1,Schenectady,42.836275,-73.943953,5.0,Solar Photovoltaic,OP,2023,NYIS
66522.0,Amherst Community Solar,18208,Erie,43.049931,-78.746052,5.0,Solar Photovoltaic,OP,2023,NYIS
66524.0,Greene Community Solar,20738,Chenango,42.252071,-75.826416,5.0,Solar Photovoltaic,OP,2024,NYIS
66526.0,NY Geneseo 3240 W Lake Rd Solar,19372,Livingston,42.847208,-77.718272,5.0,Solar Photovoltaic,OP,2024,NYIS
66527.0,NY Grand Island 871 Whitehaven Rd Solar,21011,Erie,43.027501,-78.92066,5.0,Solar Photovoltaic,OP,2024,NYIS
66528.0,NY Lancaster Gunnville Rd Site 1 Solar C,18237,Erie,42.952629,-78.61796,5.0,Solar Photovoltaic,OP,2024,NYIS
66529.0,NY Lancaster Shisler Rd Site 2 Solar CSG,21013,St Lawrence,44.678878,-74.964072,5.2,Solar Photovoltaic,OP,2024,NYIS
66530.0,NY Potsdam 28 Hamilton St. Solar,21013,St Lawrence,44.678878,-74.964072,4.4,Solar Photovoltaic,OP,2024,NYIS
66583.0,Phillips Route 82 Solar LLC,05658,Dutchess,41.65,-73.75,5.0,Solar Photovoltaic,OP,2022,NYIS
66586.0,DOCCS Greene,06945,Greene,42.35,-73.85,5.0,Solar Photovoltaic,OP,2022,NYIS
66645.0,ELP - Kipp,KIPP,Columbia,42.20193,-73.78298,3.5,Solar Photovoltaic,OP,2023,NYIS
