zone,n_obs,cov_50,cov_80,cov_90,mean_bias
A,7488,0.4950587606837607,0.8075587606837606,0.9127938034188035,0.7367075496287425
C,11232,0.5148682336182336,0.8352029914529915,0.9349180911680912,0.197355747085535
D,7440,0.5166666666666667,0.8317204301075268,0.926478494623656,2.1273883258514723
E,11232,0.5147792022792023,0.8297720797720798,0.9294871794871795,0.25664843007884397
K,1248,0.44150641025641024,0.7996794871794872,0.9294871794871795,1.503748556417957
