day,hour_utc,actual_mw,in_80,in_90,pit,bias
2024-01-03,0,2006.504121,1.0,1.0,0.478,-10.643915880578106
2024-01-03,1,2049.0513250000004,1.0,1.0,0.502,0.8668848410507053
2024-01-03,2,2077.9425889999998,1.0,1.0,0.376,-64.96247904032543
2024-01-03,3,2184.3730740000005,1.0,1.0,0.541,17.332689223509533
2024-01-03,4,2063.332218,1.0,1.0,0.392,-61.48306192097834
2024-01-03,5,2178.080154,1.0,1.0,0.767,135.79021845294392
2024-01-03,6,1842.8847429999998,1.0,1.0,0.42,-62.759761878041445
2024-01-03,7,1434.3863749999998,1.0,1.0,0.12,-273.0211690259746
2024-01-03,8,1291.2778849999997,1.0,1.0,0.184,-215.12529116909514
2024-01-03,9,1062.4484989999999,0.0,1.0,0.06,-327.90493633426354
2024-01-03,10,1075.1140890000001,1.0,1.0,0.117,-256.2968137376861
2024-01-03,11,994.9430019999999,0.0,1.0,0.058,-358.67725768056073
2024-01-03,12,1019.5548079999999,0.0,1.0,0.07,-351.11647496648175
2024-01-03,13,817.6294599999999,0.0,0.0,0.014,-503.4660799335893
2024-01-03,14,841.6726610000003,0.0,1.0,0.059,-360.084004683099
2024-01-03,15,803.147449,0.0,1.0,0.094,-274.6732374755293
2024-01-03,16,611.1633099999999,0.0,0.0,0.015,-408.1560657283743
2024-01-03,17,636.688927,0.0,0.0,0.029,-363.83107149583236
2024-01-03,18,686.4448269999998,0.0,1.0,0.062,-319.8358764536838
2024-01-03,19,575.49797,0.0,0.0,0.023,-383.0453463040425
2024-01-03,20,587.3604799999998,0.0,0.0,0.049,-322.3801484199147
2024-01-03,21,546.260895,0.0,0.0,0.045,-287.79162865524927
2024-01-03,22,465.989239,0.0,0.0,0.012,-380.64810500917906
2024-01-03,23,563.338308,0.0,1.0,0.058,-267.843462573535
2024-01-10,0,2678.6762200000003,0.0,0.0,0.982,315.05889419908
2024-01-10,1,2548.8542810000004,1.0,1.0,0.78,123.06555800600472
2024-01-10,2,2537.0484850000007,1.0,1.0,0.71,98.92898428126273
2024-01-10,3,2645.197013,0.0,1.0,0.939,234.65901296990387
2024-01-10,4,2497.435679,1.0,1.0,0.803,116.95480231441798
2024-01-10,5,2501.9998220000007,0.0,0.0,0.953,224.04824275229294
2024-01-10,6,2428.4244590000003,0.0,0.0,0.97,276.74062850573
2024-01-10,7,2259.1802510000007,0.0,1.0,0.948,223.75797576761352
2024-01-10,8,2348.945765,0.0,0.0,0.977,327.39617791445517
2024-01-10,9,2333.4658410000006,0.0,1.0,0.937,335.3516159085473
2024-01-10,10,2450.381061,0.0,0.0,0.981,463.9419879739198
2024-01-10,11,2350.1080500000007,0.0,1.0,0.922,275.3765550503449
2024-01-10,12,2384.0226220000004,1.0,1.0,0.878,251.66732124202554
2024-01-10,13,2501.3463540000007,0.0,1.0,0.931,304.8154493949146
2024-01-10,14,2487.091961,0.0,1.0,0.906,292.8398586893545
2024-01-10,15,2755.663751,0.0,0.0,1.0,523.8202822151716
2024-01-10,16,2804.8361470000004,0.0,0.0,1.0,513.3623745360514
2024-01-10,17,2839.411018,0.0,0.0,1.0,477.8128967216667
2024-01-10,18,2812.239657,0.0,0.0,0.998,381.7859124834613
2024-01-10,19,2843.298784,0.0,0.0,1.0,374.5338510283759
2024-01-10,20,2880.496161,0.0,0.0,1.0,423.74017778518373
2024-01-10,21,2850.488671,0.0,0.0,1.0,393.5545165415724
2024-01-10,22,2780.865414,0.0,0.0,0.996,294.4512976301685
2024-01-10,23,2878.742812,0.0,0.0,1.0,374.7823256386223
2024-01-17,0,1145.9976239999999,1.0,1.0,0.238,-135.96345083424217
2024-01-17,1,1120.2339209999998,1.0,1.0,0.128,-215.82689968697628
2024-01-17,2,1484.1139400000002,1.0,1.0,0.658,85.39452247526106
2024-01-17,3,1580.4298179999998,1.0,1.0,0.752,145.83053144005407
2024-01-17,4,1605.063264,1.0,1.0,0.668,100.20525370994346
2024-01-17,5,1551.7921749999998,1.0,1.0,0.507,4.938564016750433
2024-01-17,6,1541.2952760000003,1.0,1.0,0.335,-100.52537727617482
2024-01-17,7,1693.6192520000006,1.0,1.0,0.522,13.4679929587694
2024-01-17,8,1806.2189280000002,1.0,1.0,0.721,107.3207159558774
2024-01-17,9,1829.803928,1.0,1.0,0.768,146.6897550229089
2024-01-17,10,2112.916403,0.0,0.0,0.957,381.25643443108356
2024-01-17,11,2054.446854,1.0,1.0,0.827,206.65673275792642
2024-01-17,12,2455.271107,0.0,0.0,0.98,450.2442998727381
2024-01-17,13,2475.9218530000003,0.0,0.0,0.963,345.5736558794006
2024-01-17,14,2512.521862,1.0,1.0,0.899,223.75574017229928
2024-01-17,15,2641.8094380000002,0.0,0.0,0.958,244.86707263770677
2024-01-17,16,2633.5349290000004,1.0,1.0,0.826,119.70765677845066
2024-01-17,17,2665.617515,1.0,1.0,0.886,154.1932219036703
2024-01-17,18,2711.5047720000007,0.0,0.0,0.971,231.22535425375327
2024-01-17,19,2617.2138019999998,1.0,1.0,0.83,159.85963532993492
2024-01-17,20,2687.4709700000003,0.0,0.0,0.976,266.7061057672008
2024-01-17,21,2617.9133890000003,0.0,0.0,0.987,366.9709213627589
2024-01-17,22,2562.936602,0.0,0.0,0.992,411.046167584112
2024-01-17,23,2564.630213000001,0.0,0.0,0.996,497.8512130219556
2024-01-24,0,516.289573,1.0,1.0,0.358,-51.84402575853187
2024-01-24,1,583.70461,1.0,1.0,0.452,-16.22224935989152
2024-01-24,2,788.2826370000001,1.0,1.0,0.746,108.31436125349421
2024-01-24,3,955.7592,1.0,1.0,0.83,187.35080390976077
2024-01-24,4,1038.358177,1.0,1.0,0.784,164.72815848426558
2024-01-24,5,1300.5541469999998,0.0,1.0,0.928,336.0167859603889
2024-01-24,6,1313.20811,1.0,1.0,0.853,274.1092767308296
2024-01-24,7,1440.2072719999996,0.0,1.0,0.939,390.29184774749365
2024-01-24,8,1206.9647679999998,1.0,1.0,0.865,256.21449596295577
2024-01-24,9,956.9036360000001,1.0,1.0,0.756,146.13616370323643
2024-01-24,10,872.1467749999999,1.0,1.0,0.757,136.34293340600584
2024-01-24,11,806.8748999999999,1.0,1.0,0.62,67.7618468655869
2024-01-24,12,819.6807059999998,1.0,1.0,0.559,31.143589242964367
2024-01-24,13,833.9025030000003,1.0,1.0,0.561,26.160067251183705
2024-01-24,14,809.5702910000001,1.0,1.0,0.487,-7.157108584982325
2024-01-24,15,843.9284189999998,1.0,1.0,0.585,46.87215956151999
2024-01-24,16,796.8064069999998,1.0,1.0,0.567,33.13755401720459
2024-01-24,17,879.2388609999998,1.0,1.0,0.779,165.69820794081375
2024-01-24,18,995.2883660000001,0.0,1.0,0.921,316.04733541670123
2024-01-24,19,1069.5244409999998,0.0,1.0,0.93,366.7997954866996
2024-01-24,20,986.223325,1.0,1.0,0.754,157.39894018245525
2024-01-24,21,1142.537476,1.0,1.0,0.72,123.67084497064752
2024-01-24,22,1380.3033859999998,1.0,1.0,0.895,285.786806355374
2024-01-24,23,1522.527462,0.0,1.0,0.941,385.7950644734028
2024-01-31,0,795.742992,1.0,1.0,0.8,163.2608066966102
2024-01-31,1,889.3915519999999,1.0,1.0,0.892,253.45830974407124
2024-01-31,2,794.181295,1.0,1.0,0.744,126.94212412087188
2024-01-31,3,840.174858,1.0,1.0,0.743,120.95957840665915
2024-01-31,4,996.8321420000001,0.0,1.0,0.91,285.7472146577967
2024-01-31,5,749.198342,1.0,1.0,0.579,41.32531657960044
