Time,Load,Solar (utility),BTM solar,Wind
2021-01-01 05:00:00+00:00,15592.238099999999,0.0,0.0,56.502376990261354
2021-01-01 06:00:00+00:00,15015.8601,0.0,0.0,39.40379916271995
2021-01-01 07:00:00+00:00,14602.688699999999,0.0,0.0,25.363480448002246
2021-01-01 08:00:00+00:00,14357.9805,0.0,0.0,12.479128582008448
2021-01-01 09:00:00+00:00,14371.449299999998,0.0,0.0,1.0604773303905966
2021-01-01 10:00:00+00:00,14610.6185,0.0,0.0,9.930865354742098
2021-01-01 11:00:00+00:00,15014.4657,0.0,0.0,78.02166158685563
2021-01-01 12:00:00+00:00,15315.320699999998,0.0,24.8,200.00934965166914
2021-01-01 13:00:00+00:00,15504.513199999998,20.01814985272062,208.09,309.0868621118497
2021-01-01 14:00:00+00:00,15694.8452,37.851043642943,465.1,306.48375209345835
2021-01-01 15:00:00+00:00,16013.570599999997,48.58565855200437,572.66,360.42601982149324
2021-01-01 16:00:00+00:00,16569.9609,56.04934196853361,432.18,325.86610224692885
2021-01-01 17:00:00+00:00,16882.511500000004,50.8025437465694,353.89,323.85303948713334
2021-01-01 18:00:00+00:00,17053.0345,31.507571177525165,272.54,383.36270924061773
2021-01-01 19:00:00+00:00,17253.2785,9.71079894705979,144.68,497.9314052409715
2021-01-01 20:00:00+00:00,17597.8745,4.744138143918356,42.12,598.4255716520604
2021-01-01 21:00:00+00:00,18395.325399999998,1.749585984787939,1.16,853.7301548916563
2021-01-01 22:00:00+00:00,19005.713200000002,0.0,0.17,611.3888909104447
2021-01-01 23:00:00+00:00,18837.0837,0.0,0.0,575.5827025773483
2021-01-02 00:00:00+00:00,18515.9945,0.0,0.0,1034.4773824816066
2021-01-02 01:00:00+00:00,18094.9194,0.0,0.0,1309.9117924378932
2021-01-02 02:00:00+00:00,17560.0298,0.0,0.0,1398.9448659235156
2021-01-02 03:00:00+00:00,16744.0151,0.0,0.0,1445.1596726521882
2021-01-02 04:00:00+00:00,15854.4619,0.0,0.0,1470.6619471253814
2021-01-02 05:00:00+00:00,15101.0207,0.0,0.0,1497.8369291888482
2021-01-02 06:00:00+00:00,14586.9244,0.0,0.0,1679.2149957624815
2021-01-02 07:00:00+00:00,14211.8282,0.0,0.0,1652.928918324681
2021-01-02 08:00:00+00:00,14038.8274,0.0,0.0,1549.9656124284256
2021-01-02 09:00:00+00:00,14031.192900000002,0.0,0.0,1305.839598652088
2021-01-02 10:00:00+00:00,14217.1699,0.0,0.0,1414.9116582540362
2021-01-02 11:00:00+00:00,14703.393499999998,0.0,0.0,1118.9436143939786
2021-01-02 12:00:00+00:00,15217.7958,0.0,3.56,921.3400351951502
2021-01-02 13:00:00+00:00,15691.9608,0.1943844856202364,84.58,808.3551505106628
2021-01-02 14:00:00+00:00,16058.543599999999,5.291202108854208,325.98,644.8619118268256
2021-01-02 15:00:00+00:00,16259.8127,32.68435961428267,508.97,868.8218835513434
2021-01-02 16:00:00+00:00,16425.959999999995,37.33101642235795,551.5,778.2347344194832
2021-01-02 17:00:00+00:00,16361.486600000002,39.06465305894045,640.81,539.7846158056483
2021-01-02 18:00:00+00:00,16346.6852,37.8022341695943,536.3,467.5123731494186
2021-01-02 19:00:00+00:00,16319.888000000003,34.06583265698673,447.12,269.87337186484433
2021-01-02 20:00:00+00:00,16691.0407,23.739072944549015,170.08,196.0051032144024
2021-01-02 21:00:00+00:00,17596.853,9.351012937928083,11.16,313.915998375255
2021-01-02 22:00:00+00:00,18634.2641,0.0,0.1,340.29125959721785
2021-01-02 23:00:00+00:00,18597.253600000004,0.0,0.0,216.7580045281913
2021-01-03 00:00:00+00:00,18265.6131,0.0,0.0,201.1520696841803
2021-01-03 01:00:00+00:00,17855.1396,0.0,0.0,132.88196116504085
2021-01-03 02:00:00+00:00,17304.5458,0.0,0.0,44.82326918517464
2021-01-03 03:00:00+00:00,16529.1935,0.0,0.0,7.1404683605388675
2021-01-03 04:00:00+00:00,15709.762700000001,0.0,0.0,0.6499233836289411
2021-01-03 05:00:00+00:00,14991.9769,0.0,0.0,1.1686160426878112
2021-01-03 06:00:00+00:00,14510.7976,0.0,0.0,22.3315413567554
2021-01-03 07:00:00+00:00,14241.0447,0.0,0.0,85.26449590698091
2021-01-03 08:00:00+00:00,14073.9957,0.0,0.0,169.6499218470008
2021-01-03 09:00:00+00:00,14070.450700000001,0.0,0.0,209.64347145466766
2021-01-03 10:00:00+00:00,14301.1538,0.0,0.0,171.1373086806865
2021-01-03 11:00:00+00:00,14677.1097,0.0,0.0,142.68187692718857
2021-01-03 12:00:00+00:00,15129.3855,0.0,0.82,461.8550482647385
2021-01-03 13:00:00+00:00,15713.849,0.7089828589266044,26.74,695.8054223854035
