Time,wind_323596,wind_323608,wind_323693,wind_323751,wind_323784,wind_24204,wind_323617,wind_323625,wind_323626,wind_323690,wind_323706,wind_323713,wind_323820,wind_323822,wind_323604,wind_323605,wind_323606,wind_323614,wind_323696,wind_323719,wind_24146,wind_323574,wind_323611,wind_323609,wind_323673,wind_323753,wind_323790,wind_323818
2023-01-01 16:00:00+00:00,5.221492,10.005016,3.793898,1.887658,4.824497,4.498180,2.969825,17.837700,23.191248,0.052241,40.303987,0.000000,4.468660,1.987077,55.109361,67.333321,59.814666,58.458837,189.312110,70.943424,1.163115,58.692698,23.070550,6.635654,53.427537,26.670437,20.993129,36.231772
2023-01-01 17:00:00+00:00,0.000000,2.115929,0.000000,9.088941,16.086289,6.182138,10.535301,3.035794,5.155494,6.432758,6.790838,3.804364,20.431275,12.873545,64.961732,70.900792,87.784559,69.259417,199.047718,72.943172,1.700732,59.096653,23.229334,9.001343,51.491978,32.709748,22.352315,41.688066
2023-01-01 18:00:00+00:00,0.000000,0.000000,0.000000,21.432122,21.842680,10.391189,0.000000,1.797934,0.000000,0.000000,0.046955,0.073093,6.990590,0.000000,63.130063,74.962261,71.025154,75.174630,191.195588,73.837297,1.904367,44.495920,17.490171,13.456519,39.122329,20.825492,17.190492,26.009923
2023-01-01 19:00:00+00:00,0.000000,2.910124,0.000000,20.017025,21.240544,4.523468,0.000000,6.723804,5.299244,0.000000,6.297792,0.000000,3.477098,0.117958,44.291933,57.657945,37.856361,55.641417,149.226210,61.905622,1.034614,19.276168,7.576952,5.877321,28.946045,9.642504,11.477307,11.289171
2023-01-01 20:00:00+00:00,0.000000,2.821081,0.000000,25.699026,26.486370,3.296319,3.333930,6.147702,4.496262,0.311757,8.184220,0.575837,13.426722,2.031611,29.000446,33.007475,33.023395,32.623979,92.319182,38.334432,0.174205,16.244090,6.385123,1.706734,20.528855,5.403089,7.985761,6.823144
2023-01-01 21:00:00+00:00,0.000000,2.121615,0.000000,15.122166,42.413077,1.214776,0.000000,1.518275,1.422531,1.130597,1.610540,1.411925,24.161120,0.000000,45.527022,49.678977,22.721900,55.373340,114.396096,63.262936,0.000000,22.144931,8.704588,0.284130,15.788823,9.145549,8.064921,11.656062
2023-01-01 22:00:00+00:00,0.000000,2.438587,0.000000,23.367322,44.250637,0.877254,0.647743,0.000000,2.116022,4.240594,0.000000,3.943249,32.947421,4.176843,39.658049,40.411569,30.860507,40.590503,109.262343,43.830569,0.013605,11.710081,4.602923,0.361343,13.118304,5.845951,7.637192,5.880596
2023-01-01 23:00:00+00:00,0.551415,22.210582,0.397688,65.741828,63.309986,0.855873,4.739564,13.202294,19.001271,2.782662,5.348908,5.494835,55.040815,0.930674,36.342193,44.117163,5.179193,40.339687,111.573418,36.738991,0.000000,15.647460,6.150603,0.034022,13.071743,2.434868,5.301640,5.060799
2023-01-02 00:00:00+00:00,5.631423,86.455529,4.362576,76.076936,92.101040,0.000000,9.554804,40.672070,98.627210,14.999577,51.045053,8.264119,84.218748,16.806540,22.867871,24.329185,11.653270,24.276437,70.049000,24.724362,0.000000,16.444924,6.464065,0.000000,8.221164,3.988035,17.118265,5.296812
2023-01-02 01:00:00+00:00,8.501554,91.793773,6.377756,65.493921,73.798526,0.551545,24.331431,77.906469,122.344708,29.502310,91.210903,14.510132,97.328854,56.953637,24.368154,23.554487,8.720629,23.694233,68.028214,24.654281,0.000000,18.391346,7.229153,0.127755,13.329760,6.691846,8.759493,11.201365
2023-01-02 02:00:00+00:00,11.920159,98.339069,9.067329,54.395725,55.212011,0.202342,48.764376,104.334764,124.285935,32.379740,93.519359,12.395100,95.988718,88.886780,25.514573,29.092674,6.663047,28.159867,77.045126,29.828703,0.000000,5.344590,2.100817,0.239625,12.258204,0.316365,6.665265,0.574716
2023-01-02 03:00:00+00:00,8.355911,89.135128,6.147286,24.767949,20.996852,0.072720,44.222072,55.160796,112.816820,24.911141,85.826943,10.118526,79.966294,97.809441,16.173033,20.451796,0.000000,20.610312,45.331544,24.952898,0.000000,8.560269,3.364816,0.000000,7.562021,3.085953,6.161012,3.416124
2023-01-02 04:00:00+00:00,9.711088,62.905512,6.992671,32.854970,21.057217,1.900231,75.195240,47.280388,75.174646,35.220176,76.878407,10.017443,89.667576,78.606912,11.830836,12.428145,0.000000,13.489104,30.290659,18.541739,0.000000,18.204365,7.155655,0.116779,4.552646,7.527726,6.279814,10.321076
2023-01-02 05:00:00+00:00,11.228061,49.107907,8.081903,32.982152,20.575103,6.389520,61.963697,40.102305,72.922129,20.499103,69.022634,9.032041,80.838513,59.855728,14.505648,10.638030,0.000000,13.845231,25.165064,17.701705,0.206525,34.183406,13.436594,2.016880,5.286606,22.332573,7.590667,28.636249
2023-01-02 06:00:00+00:00,7.724000,51.841000,5.522381,28.253289,18.983486,11.668001,44.594305,40.724203,70.672990,23.010105,71.039529,13.951337,95.120639,39.100676,9.761748,10.970705,0.000000,10.037894,27.636095,10.807990,0.617688,43.425654,17.069478,4.239648,2.757898,24.551113,16.287241,27.668488
2023-01-02 07:00:00+00:00,5.051287,32.863946,3.674833,27.917183,21.335086,14.598827,27.212587,33.528610,50.788348,18.849319,59.850100,12.239971,77.091511,27.253028,12.137151,10.873782,0.000000,10.328094,29.952635,10.831020,1.161570,64.974971,25.539945,12.705010,4.903790,30.586999,23.184032,36.709871
2023-01-02 08:00:00+00:00,3.805384,34.924408,2.921463,42.847180,33.070125,8.924622,20.047100,32.767757,55.919150,14.289151,63.035176,8.235304,56.765788,19.193074,13.240477,11.190608,0.651680,13.756934,28.724142,19.239773,0.490643,110.114437,43.283077,6.085641,6.589165,58.258029,25.961911,82.469073
2023-01-02 09:00:00+00:00,2.343861,34.818440,1.748781,25.817871,21.226796,4.635313,13.317263,31.571457,45.521591,7.365105,61.620291,5.853609,40.235250,5.234895,10.205676,10.623754,0.000000,7.798227,35.193730,7.008309,0.314440,90.569242,35.600377,3.022316,12.374858,50.932657,22.779557,76.954559
2023-01-02 10:00:00+00:00,3.526346,40.529480,2.485710,35.946244,27.732705,6.231763,6.620781,31.413871,50.202318,8.855598,53.906232,6.064358,40.672166,9.144837,2.847883,2.276033,0.000000,2.350301,6.326367,3.872898,0.557219,48.638771,19.118617,3.470982,27.058873,29.322123,28.365548,33.302993
2023-01-02 11:00:00+00:00,2.247127,40.060523,1.685487,28.057895,17.941728,8.267146,16.485550,31.889009,63.421399,12.001967,61.307242,5.228979,33.710005,22.616291,8.314518,7.956705,0.000000,8.063418,14.434033,11.609059,0.323212,71.308839,28.029621,4.227507,13.870396,35.502592,33.341580,38.816913
2023-01-02 12:00:00+00:00,2.208429,52.117071,1.707359,16.487679,9.050371,6.221905,24.678377,27.960524,65.965735,12.746923,59.601916,3.668348,30.338405,17.790083,14.763902,15.442519,4.804357,20.929776,26.351732,30.012332,0.346747,57.135939,22.458629,3.420987,18.629917,30.652494,29.460541,33.736001
2023-01-02 13:00:00+00:00,2.181084,37.249039,1.539131,21.500749,9.569620,7.740062,13.428954,26.485363,43.468868,13.061272,52.342279,3.500142,30.726570,8.547067,26.219914,26.914811,7.131844,32.029711,57.541432,42.408972,0.291553,64.044234,25.174097,2.892012,22.593574,33.655133,33.889389,35.468491
2023-01-02 14:00:00+00:00,0.676332,12.350331,0.522870,19.461299,7.644545,7.426961,1.311407,8.533163,14.899767,6.330602,22.720709,2.798051,14.975067,4.841629,37.533766,45.951852,12.327783,45.345694,113.551613,52.641035,0.251836,56.819038,22.334063,2.289145,21.055161,28.019737,36.460044,24.474063
2023-01-02 15:00:00+00:00,0.000000,18.349916,0.000000,13.781828,11.233249,4.615397,0.394230,12.699337,24.024079,2.503666,30.226942,2.047363,11.349555,1.768176,31.935087,42.046739,11.290196,39.334687,109.404873,37.138137,0.136757,45.696392,17.962045,2.257523,14.791561,14.942292,23.616766,23.561242
2023-01-02 16:00:00+00:00,0.000000,15.284678,0.000000,8.008721,9.557520,9.080878,4.522656,6.502984,14.447145,2.930995,13.603642,1.828281,8.826390,9.625480,29.432557,38.095537,5.511503,39.976805,91.671782,44.229974,0.942594,29.237722,11.492576,6.689281,11.690804,9.074232,20.273353,10.047247
2023-01-02 17:00:00+00:00,0.000000,16.244352,0.000000,3.608729,5.036841,7.813439,12.441892,7.405801,18.650231,6.133037,18.238518,3.257883,17.533657,18.245668,29.633440,33.123589,13.694506,35.147909,88.505458,43.318768,1.349811,33.377790,13.119928,8.879999,27.678438,8.841428,17.538282,12.846964
2023-01-02 18:00:00+00:00,0.000000,9.335471,0.000000,0.402891,0.981906,4.296428,4.843726,3.661876,11.459449,1.807862,15.131879,1.873902,10.156856,6.737077,30.887052,38.843327,15.048120,40.783057,93.006704,46.586459,0.605228,46.964482,18.460498,4.938987,19.000374,13.887962,22.673605,19.383312
