Time,wind_323596,wind_323608,wind_323693,wind_323751,wind_323784,wind_323825,wind_24204,wind_323617,wind_323625,wind_323626,wind_323690,wind_323706,wind_323713,wind_323820,wind_323822,wind_323604,wind_323605,wind_323606,wind_323614,wind_323696,wind_323719,wind_24146,wind_323574,wind_323611,wind_323609,wind_323673,wind_323753,wind_323790,wind_323818,wind_323821,wind_323839
2024-01-01 15:00:00+00:00,4.143731,4.646184,3.178633,7.392324,6.586862,7.705430,0.901537,6.157331,11.222848,9.364346,0.309269,11.240320,0.000000,0.000000,2.739285,0.000000,0.000000,0.566579,0.000000,0.000000,0.000000,0.211387,1.878072,0.738221,1.253604,0.130556,0.000000,3.423051,0.000000,1.119382,4.870205
2024-01-01 16:00:00+00:00,2.107484,2.269439,1.607151,9.705708,5.640058,7.813360,0.847254,3.518645,4.453375,3.330060,0.603525,4.062571,0.517066,0.198815,1.500156,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.172779,0.000000,0.000000,1.128935,1.205358,0.000000,0.000000,0.000000,5.041181,10.695157
2024-01-01 17:00:00+00:00,0.819844,0.010394,0.659630,6.016403,6.512281,7.206363,1.637874,2.600827,0.727629,0.000000,0.183394,0.000000,0.495462,1.190535,1.329486,0.006204,0.000000,0.138914,0.000000,0.000000,0.024761,0.252381,0.000000,0.000000,1.740256,4.627992,0.000000,0.000000,0.000000,8.054141,3.052576
2024-01-01 18:00:00+00:00,0.000000,0.000000,0.000000,3.722052,5.913782,5.421101,2.523224,2.217340,0.001308,0.000000,0.488813,0.000000,0.606184,0.075399,4.145595,3.253300,2.908831,1.952600,3.331345,7.880318,4.289372,0.547611,4.801552,1.887363,3.149347,9.006879,2.925860,1.677533,4.053481,7.084300,0.000000
2024-01-01 19:00:00+00:00,0.000000,0.309515,0.000000,5.143851,6.569957,6.942532,2.931048,6.638898,1.397390,1.776878,0.720530,3.486846,0.244583,0.000000,9.375967,4.593730,3.840311,2.990920,4.295924,10.042773,5.800196,0.794046,2.680950,1.053811,4.749086,11.583735,0.613627,0.126539,1.918043,16.761854,3.227352
2024-01-01 20:00:00+00:00,0.000000,0.144405,0.000000,2.067132,5.272624,4.670154,3.524305,9.688136,0.002689,1.225986,3.286685,2.426491,2.255142,6.347413,15.284974,5.549931,4.792927,5.286347,6.097613,12.055128,7.535330,0.670234,0.502225,0.197411,3.749053,12.370631,0.554776,0.000000,1.249001,28.845156,0.106817
2024-01-01 21:00:00+00:00,0.000000,0.053384,0.000000,0.846816,4.636517,3.030896,3.811905,8.792773,0.000000,0.024306,3.953455,1.294499,2.574756,6.091934,14.458435,8.332261,10.379777,3.952443,10.385192,24.286096,11.129773,0.800828,0.703526,0.276537,4.647934,12.183411,0.301115,0.187958,1.616266,31.787660,0.000000
2024-01-01 22:00:00+00:00,0.000000,2.220991,0.000000,2.033714,2.950477,2.910704,2.895714,7.412989,3.250883,3.322554,3.930656,4.514154,2.763001,8.028254,12.963752,11.685497,13.710022,5.191440,13.455230,37.118353,14.647717,0.730047,0.507786,0.199597,4.330635,11.022392,0.163512,0.304200,0.690946,27.662420,0.000000
2024-01-01 23:00:00+00:00,0.000000,2.675616,0.000000,2.561661,4.935442,4.037225,2.409086,6.413966,4.687287,6.194247,3.359370,10.227317,2.389288,7.174237,13.512625,18.268537,22.817439,9.599467,22.401361,55.088947,23.963941,0.561406,2.531723,0.995153,3.003065,11.876931,2.313262,2.011753,3.545372,31.076627,0.000000
2024-01-02 00:00:00+00:00,0.000000,2.868169,0.000000,0.968155,4.551495,0.000000,3.755854,10.002154,3.688514,4.957463,4.552984,6.853891,2.927481,11.041581,15.262908,22.865263,26.144925,4.608099,26.209098,63.883136,28.748122,0.872361,5.862685,2.304466,4.238425,13.541641,2.373725,3.622484,3.957810,37.133919,5.073671
2024-01-02 01:00:00+00:00,0.000000,6.571487,0.000000,13.925589,18.283876,16.929898,1.661101,10.100045,5.751749,8.620763,6.619394,9.965522,4.659249,21.158350,19.703095,29.534652,27.996420,3.188712,27.498171,75.263805,29.327005,0.269301,12.749650,5.011551,1.227491,9.133372,4.726530,5.660591,6.918886,46.772338,10.548483
2024-01-02 02:00:00+00:00,2.646564,11.922404,2.069337,22.779672,21.797505,27.431113,2.198168,12.434479,10.272175,17.284898,8.059092,22.933244,4.413242,25.048188,22.200012,38.459291,40.755886,5.032634,40.062135,107.938519,46.237885,0.025007,36.849800,14.484683,0.433245,12.310831,13.820222,18.049559,18.898462,32.235656,2.603073
2024-01-02 03:00:00+00:00,2.461274,11.670543,1.899574,20.970216,18.684332,22.733388,5.504612,9.614452,10.216902,16.035963,5.261979,21.088796,3.692710,16.728212,12.393242,50.573339,52.483379,10.493307,48.621222,152.760940,54.684156,0.298258,56.890675,22.362222,3.689264,17.572699,27.283507,23.055059,32.239761,25.861869,0.000000
