site,v3,v4
wind_24146,40.73037439481514,36.734620781260105
wind_24204,33.283125754061615,29.52892368775792
wind_323574,38.41021721504782,30.993323011520616
wind_323596,41.30838330460586,35.141378457682904
wind_323604,39.029177282423966,34.976724406836986
wind_323605,43.662213790437036,37.74699657259425
wind_323606,47.21384496610255,42.42220336918121
wind_323608,30.48870826475618,27.225122735531343
wind_323609,39.85122336944219,33.85552403282773
wind_323611,38.410217215047815,30.993322993796003
wind_323614,40.655941802257956,37.645549374511276
wind_323617,32.815930691811246,27.26507151307981
wind_323625,33.283712823094284,28.24748808274753
wind_323626,30.019533453738713,26.22380046185536
wind_323673,41.75652331546048,32.766235058294434
wind_323690,33.402530087912815,30.485078546971707
wind_323693,40.47687553437482,35.10287497390028
wind_323696,42.02495464984449,35.55081247959565
wind_323706,25.990981983737836,23.367089062414045
wind_323713,28.461045076171608,26.373244961318836
wind_323719,39.674352848972816,34.742175728715736
wind_323751,30.80740521646538,25.975692914239932
wind_323753,38.50472185572158,32.308813852771
wind_323784,30.92935189119761,28.271223489976478
wind_323790,33.811011376589555,28.59079370626491
wind_323818,40.69371747026415,34.09761043427209
wind_323820,31.664572608843347,25.205150684699966
wind_323822,35.28284059375228,29.672401271492717
