count,median,mean,p25,p75,ws_bin,archetype,isotonic,used_in_fit
50,1.0000,0.9975,0.9981,1.0000,20.8750,A1,1.0000,True
47,1.0000,0.9982,0.9981,1.0000,21.1250,A1,1.0000,True
34,1.0000,0.9945,0.9981,1.0000,21.3750,A1,1.0000,True
32,1.0000,0.9961,0.9981,1.0000,21.6250,A1,1.0000,True
32,1.0000,0.9951,0.9995,1.0000,21.8750,A1,1.0000,True
25,1.0000,0.9956,0.9981,1.0000,22.1250,A1,1.0000,False
12,1.0000,0.9997,1.0000,1.0000,22.3750,A1,1.0000,False
21,1.0000,0.9953,1.0000,1.0000,22.6250,A1,1.0000,False
17,1.0000,0.9970,1.0000,1.0000,22.8750,A1,1.0000,False
12,1.0000,0.9958,0.9995,1.0000,23.1250,A1,1.0000,False
14,1.0000,0.9995,0.9986,1.0000,23.3750,A1,1.0000,False
8,0.9991,0.9877,0.9867,1.0000,23.6250,A1,1.0000,False
4,1.0000,1.0000,1.0000,1.0000,23.8750,A1,1.0000,False
9,1.0000,0.9895,1.0000,1.0000,24.1250,A1,1.0000,False
6,1.0000,0.9995,0.9986,1.0000,24.3750,A1,1.0000,False
5,0.0000,0.4000,0.0000,1.0000,24.6250,A1,1.0000,False
17,0.0000,0.1174,0.0000,0.0000,24.8750,A1,1.0000,False
191,0.0000,0.0000,0.0000,0.0000,0.1250,A2,0.0000,True
590,0.0000,0.0000,0.0000,0.0000,0.3750,A2,0.0000,True
939,0.0000,0.0000,0.0000,0.0000,0.6250,A2,0.0000,True
1354,0.0000,0.0000,0.0000,0.0000,0.8750,A2,0.0000,True
1816,0.0000,0.0000,0.0000,0.0000,1.1250,A2,0.0000,True
2167,0.0000,0.0000,0.0000,0.0000,1.3750,A2,0.0000,True
2472,0.0000,0.0000,0.0000,0.0000,1.6250,A2,0.0000,True
2821,0.0000,0.0000,0.0000,0.0000,1.8750,A2,0.0000,True
3193,0.0000,0.0000,0.0000,0.0000,2.1250,A2,0.0000,True
3521,0.0000,0.0004,0.0000,0.0000,2.3750,A2,0.0000,True
3757,0.0000,0.0012,0.0000,0.0000,2.6250,A2,0.0000,True
3899,0.0115,0.0093,0.0029,0.0143,2.8750,A2,0.0000,True
4109,0.0187,0.0151,0.0071,0.0218,3.1250,A2,0.0187,True
4264,0.0266,0.0235,0.0128,0.0308,3.3750,A2,0.0266,True
4477,0.0366,0.0326,0.0187,0.0415,3.6250,A2,0.0366,True
4610,0.0481,0.0428,0.0256,0.0539,3.8750,A2,0.0481,True
4817,0.0611,0.0543,0.0336,0.0676,4.1250,A2,0.0611,True
4785,0.0756,0.0676,0.0431,0.0831,4.3750,A2,0.0756,True
4889,0.0921,0.0828,0.0537,0.1004,4.6250,A2,0.0921,True
4974,0.1104,0.0996,0.0650,0.1203,4.8750,A2,0.1104,True
4931,0.1307,0.1183,0.0773,0.1423,5.1250,A2,0.1307,True
4957,0.1529,0.1386,0.0909,0.1662,5.3750,A2,0.1529,True
4821,0.1779,0.1620,0.1068,0.1929,5.6250,A2,0.1779,True
4779,0.2063,0.1878,0.1254,0.2216,5.8750,A2,0.2063,True
4719,0.2351,0.2140,0.1432,0.2521,6.1250,A2,0.2351,True
4587,0.2664,0.2434,0.1642,0.2852,6.3750,A2,0.2664,True
4549,0.3017,0.2763,0.1870,0.3225,6.6250,A2,0.3017,True
4414,0.3384,0.3100,0.2110,0.3605,6.8750,A2,0.3384,True
4306,0.3794,0.3486,0.2374,0.4037,7.1250,A2,0.3794,True
4258,0.4242,0.3894,0.2640,0.4495,7.3750,A2,0.4242,True
